16/11/06 15:34:24 INFO myLogger: [MapPartitionsRDD]StartAt:6373144465844,TaskAttempt ID:17,Partition Id:8,Stage Id:1
16/11/06 15:34:24 INFO myLogger: [MapPartitionsRDD]StartAt:6373144698443,TaskAttempt ID:13,Partition Id:4,Stage Id:1
16/11/06 15:34:24 INFO myLogger: [MapPartitionsRDD]StartAt:6373145078365,TaskAttempt ID:9,Partition Id:0,Stage Id:1
16/11/06 15:34:25 INFO myLogger: [MapPartitionsRDD]EndAt:6373703878562,TaskAttempt ID:9,Partition Id:0,Stage Id:1
16/11/06 15:34:50 INFO myLogger: [MapPartitionsRDD]StartAt:6399807140797,TaskAttempt ID:21,Partition Id:3,Stage Id:2
16/11/06 15:34:50 INFO myLogger: [MapPartitionsRDD]StartAt:6399807221987,TaskAttempt ID:25,Partition Id:7,Stage I16/11/06 15:34:50 INFO myLogger: [MapPartitionsRDD]StartAt:6399334072605,TaskAttempt ID:23,Partition Id:5,Stage Id:2
16/11/06 15:34:50 INFO myLogger: [MapPartitionsRDD]StartAt:6399334139045,TaskAttempt ID:19,Partition Id:1,Stage Id:2
16/11/06 15:35:27 INFO myLogger: [UnionRDD]StartAt:6442156391851,TaskAttempt ID:29,Partition Id:2,Stage Id:3
16/11/06 15:35:27 INFO myLogger: [UnionRDD]StartAt:6442156778884,TaskAttempt ID:37,Partition Id:10,Stage Id:3
16/11/06 1516/11/06 15:35:27 INFO myLogger: [UnionRDD]StartAt:6436203589876,TaskAttempt ID:40,Partition Id:13,Stage Id:3
16/11/06 15:35:27 INFO myLogger: [UnionRDD]StartAt:6436204597294,TaskAttempt ID:32,Partition Id:5,Stage Id:3
16/11/06 15:35:27 INFO myLogger: [UnionRDD]StartAt:6436206589853,TaskAttempt ID:36,Partition Id:9,Stage Id:3
16/11/06 15:35:27 INFO myLogger: [MapPartitionsRDD]StartAt:6436207451747,TaskAttempt ID:32,Partition Id:5,Stage Id:3
16/11/06 15:35:27 INFO myLogger: [UnionRDD]StartAt:6436209529077,TaskAttempt ID:28,Partition Id:1,Stage Id:3
16/11/06 15:35:27 INFO myLogger: [ShuffledRDD]StartAt:6436212417795,TaskAttempt ID:32,Partition Id:5,Stage Id:3
